FY,Park,Park Type,Park Score,PSA,Supervisor District
2023,Hyde & Vallejo Mini Park,Mini Park,0.878,PSA1,3
2023,In Chan Kaajal Park,Neighborhood Park or Playground,0.92,PSA2,9
2023,Ina Coolbrith Park,Mini Park,0.909,PSA1,3
2023,India Basin - Shoreline Park,Neighborhood Park or Playground,0.88,PSA3,10
2023,J.P. Murphy Playground,Neighborhood Park or Playground,0.963,PSA4,7
2023,Jackson Playground,Neighborhood Park or Playground,0.817,PSA2,10
2023,James Rolph Jr. Playground,Neighborhood Park or Playground,0.882,PSA6,9
2023,Japantown Peace Plaza,Civic Plaza or Square,0.864,PSA2,5
2023,Jefferson Square,Neighborhood Park or Playground,0.821,PSA2,5
2023,Joe DiMaggio Playground,Neighborhood Park or Playground,0.955,PSA1,3
2023,John McLaren Park,Neighborhood Park or Playground,0.866,PSA3,"9, 10, 11"
2023,Joost & Baden Mini Park,Mini Park,0.872,PSA5,8
2023,Jose Coronado Playground,Neighborhood Park or Playground,0.925,PSA6,9
2023,Joseph Conrad Mini Park,Mini Park,0.925,PSA1,3
2023,Joseph L. Alioto Performing Arts Piazza,Civic Plaza or Square,0.891,PSA2,5
2023,Joseph Lee Rec Center,Neighborhood Park or Playground,0.953,PSA3,10
2023,Junipero Serra Playground,Neighborhood Park or Playground,0.877,PSA4,7
2023,Juri Commons,Mini Park,0.962,PSA6,8
2023,Kelloch & Velasco Mini Park,Mini Park,0.888,PSA3,10
2023,Kid Power Park,Neighborhood Park or Playground,0.891,PSA6,9
2023,Koshland Park,Neighborhood Park or Playground,0.906,PSA2,5
2023,Lafayette Park,Neighborhood Park or Playground,0.944,PSA1,2
2023,Lake Merced Park,Regional Park,0.848,PSA4,7
2023,Laurel Hill Playground,Neighborhood Park or Playground,0.817,PSA1,2
2023,Lessing & Sears Mini Park,Mini Park,0.744,PSA3,11
2023,Lincoln Park,Regional Park,0.906,PSA1,1
2023,Little Hollywood Park,Neighborhood Park or Playground,0.87,PSA3,10
2023,Louis Sutter Playground,Neighborhood Park or Playground,0.871,PSA3,9
2023,Lower Great Highway,Parkway,0.906,PSA4,1
2023,Margaret S.Hayward Playground,Neighborhood Park or Playground,0.984,PSA2,5
2023,Maritime Plaza,Civic Plaza or Square,0.866,PSA1,3
2023,McCoppin Square,Neighborhood Park or Playground,0.919,PSA4,4
2023,McKinley Square,Neighborhood Park or Playground,0.838,PSA2,10
2023,Merced Heights Playground,Neighborhood Park or Playground,0.969,PSA4,11
2023,Michelangelo Playground,Neighborhood Park or Playground,0.924,PSA1,3
2023,Midtown Terrace Playground,Neighborhood Park or Playground,0.926,PSA4,7
2023,Minnie and Lovie Rec Center,Neighborhood Park or Playground,0.917,PSA4,11
2023,Miraloma Playground,Neighborhood Park or Playground,0.894,PSA5,7
2023,Mission Dolores Park,Neighborhood Park or Playground,0.908,PSA6,8
2023,Mission Playground,Neighborhood Park or Playground,0.935,PSA6,9
2023,Mission Rec Center,Neighborhood Park or Playground,0.961,PSA6,9
2023,Moscone Rec Center,Neighborhood Park or Playground,0.899,PSA1,2
2023,Mountain Lake Park,Neighborhood Park or Playground,0.889,PSA1,1
2023,Mt. Olympus,Neighborhood Park or Playground,0.905,PSA5,8
2023,Mullen & Peralta Mini Park,Mini Park,0.931,PSA6,9
2023,Muriel Leff Mini Park,Mini Park,1,PSA1,1
2023,Noe Valley Courts,Neighborhood Park or Playground,0.917,PSA5,8
2023,Page & Laguna Mini Park,Mini Park,0.975,PSA2,5
2023,Palace of Fine Arts,Civic Plaza or Square,0.926,PSA1,2
2023,Palega Playground,Neighborhood Park or Playground,0.955,PSA3,9
2023,Palou & Phelps Park,Neighborhood Park or Playground,0.944,PSA3,10
2023,Park Presidio Blvd,Parkway,0.842,PSA1,1
2023,Parkside Square,Neighborhood Park or Playground,0.962,PSA4,4
2023,Parque Ninos Unidos,Neighborhood Park or Playground,0.879,PSA6,9
2023,Patricia's Green in Hayes Valley,Mini Park,0.908,PSA2,5
2023,Peixotto Playground,Neighborhood Park or Playground,0.887,PSA5,8
2023,Pine Lake Park,Regional Park,0.931,PSA4,4
2023,Portsmouth Square,Neighborhood Park or Playground,0.768,PSA1,3
2023,Potrero del Sol,Neighborhood Park or Playground,0.786,PSA6,9
2023,Potrero Hill Rec Center,Neighborhood Park or Playground,0.926,PSA2,10
2023,Precita Park,Neighborhood Park or Playground,0.908,PSA6,9
2023,Prentiss Mini Park,Mini Park,0.875,PSA6,9
2023,Presidio Heights Playground,Neighborhood Park or Playground,0.946,PSA1,2
2023,Presidio Wall Playground,Neighborhood Park or Playground,0.777,PSA1,2
2023,Randolph & Bright Mini Park,Mini Park,0.97,PSA4,11
2023,Raymond Kimball Playground,Neighborhood Park or Playground,0.889,PSA2,5
2023,Richmond Playground,Neighborhood Park or Playground,0.813,PSA1,1
2023,Richmond Rec Center,Neighborhood Park or Playground,0.991,PSA1,1
2023,Rochambeau Playground,Neighborhood Park or Playground,0.884,PSA1,1
2023,Rolph Nicol Playground,Neighborhood Park or Playground,0.862,PSA4,4
2023,Roosevelt & Henry Stairs,Mini Park,0.931,PSA5,8
2023,Saturn Street Steps,Mini Park,0.91,PSA5,8
2023,Selby & Palou Mini Park,Mini Park,0.978,PSA3,10
2023,Seward Mini Park,Mini Park,0.988,PSA5,8
2023,Sgt. John Macaulay Park,Mini Park,0.956,PSA2,5
2023,Shoreview Park,Neighborhood Park or Playground,0.886,PSA3,10
2023,Sigmund Stern Recreation Grove,Regional Park,0.909,PSA4,4
2023,Silver Terrace Playground,Neighborhood Park or Playground,0.812,PSA3,10
2023,SOMA West Dog Park,Neighborhood Park or Playground,0.859,PSA2,6
2023,SOMA West Skate Park,Neighborhood Park or Playground,0.79,PSA2,6
2023,South Park,Neighborhood Park or Playground,0.829,PSA2,6
2023,South Sunset Playground,Neighborhood Park or Playground,0.912,PSA4,4
2023,St. Mary's Rec Center,Neighborhood Park or Playground,0.936,PSA6,9
2023,St. Mary's Square,Civic Plaza or Square,0.934,PSA1,3
2023,States Street Playground,Neighborhood Park or Playground,0.951,PSA5,8
2023,Sue Bierman Park,Neighborhood Park or Playground,0.934,PSA1,3
2023,Sunnyside Conservatory,Mini Park,1,PSA5,7
2023,Sunnyside Playground,Neighborhood Park or Playground,0.932,PSA5,7
2023,Sunset Rec Center,Neighborhood Park or Playground,0.973,PSA4,4
2023,Telegraph Hill - Pioneer Park,Civic Plaza or Square,0.892,PSA1,3
2023,Tenderloin Recreation Center,Neighborhood Park or Playground,0.946,PSA2,5
2023,Turk & Hyde Mini Park,Mini Park,0.961,PSA2,5
2023,Union Square,Civic Plaza or Square,0.858,PSA2,3
2023,Upper Noe Rec Center,Neighborhood Park or Playground,0.944,PSA5,8
2023,Victoria Manalo Draves Park,Neighborhood Park or Playground,0.848,PSA2,6
2023,Visitacion Valley Greenway,Neighborhood Park or Playground,0.928,PSA3,10
2023,Visitacion Valley Playground,Neighborhood Park or Playground,0.814,PSA3,10
2023,Walter Haas Playground,Neighborhood Park or Playground,0.855,PSA5,8
2023,Washington & Hyde Mini Park,Mini Park,0.979,PSA1,3
2023,Washington Square,Civic Plaza or Square,0.914,PSA1,3
2023,West Portal Playground,Neighborhood Park or Playground,0.937,PSA4,7
2023,West Sunset Playground,Neighborhood Park or Playground,0.943,PSA4,4
2023,Willie Woo Woo Wong Playground,Neighborhood Park or Playground,0.942,PSA1,3
2023,Woh Hei Yuen Playground,Neighborhood Park or Playground,0.925,PSA1,3
2023,Yacht Harbor and Marina Green,Regional Park,0.965,PSA1,2
2023,Youngblood-Coleman Playground,Neighborhood Park or Playground,0.87,PSA3,10
2022,10th Ave & Clement Mini Park,Mini Park,0.961,PSA1,1
2022,24th & York Mini Park,Mini Park,0.884,PSA6,9
2022,Adam Rodgers Park,Neighborhood Park or Playground,0.798,PSA3,10
2022,Alamo Square,Neighborhood Park or Playground,0.903,PSA2,5
2022,Alice Chalmers Playground,Neighborhood Park or Playground,0.962,PSA3,11
2022,Alice Marble Tennis Courts,Neighborhood Park or Playground,0.957,PSA1,3
2022,Alioto Mini Park,Mini Park,0.845,PSA6,9
2022,Allyne Park,Neighborhood Park or Playground,0.942,PSA1,2
2022,Alta Plaza Park,Neighborhood Park or Playground,0.887,PSA1,2
2022,Angelo J. Rossi Playground,Neighborhood Park or Playground,0.854,PSA1,1
2022,Aptos Playground,Neighborhood Park or Playground,0.945,PSA4,7
2022,Argonne Playground,Neighborhood Park or Playground,0.93,PSA1,1
2022,Balboa Park,Neighborhood Park or Playground,0.919,PSA5,11
2022,Bayview K.C. Jones Playground,Neighborhood Park or Playground,0.912,PSA3,10
2022,Beideman & O'Farrell Mini Park,Mini Park,0.964,PSA2,5
2022,Bernal Heights Rec Center,Neighborhood Park or Playground,0.911,PSA6,9
2022,Betty Ann Ong Chinese Rec Center,Neighborhood Park or Playground,0.977,PSA1,3
2022,Broadway Tunnel West Mini Park,Mini Park,0.904,PSA1,3
2022,Brooks Park,Neighborhood Park or Playground,0.857,PSA4,11
2022,Buchanan Street Mall,Neighborhood Park or Playground,0.954,PSA2,5
2022,Buena Vista Park,Regional Park,0.925,PSA5,8
2022,Bush & Broderick Mini Park,Mini Park,0.894,PSA2,2
2022,Cabrillo Playground,Neighborhood Park or Playground,0.967,PSA1,1
2022,Carl Larsen Park,Neighborhood Park or Playground,0.83,PSA4,4
2022,Cayuga & Lamartine Mini Park,Mini Park,0.852,PSA5,11
2022,Cayuga Playground,Neighborhood Park or Playground,0.855,PSA3,11
2022,Coleridge Mini Park,Mini Park,0.963,PSA6,9
2022,Collis P. Huntington Park,Civic Plaza or Square,0.911,PSA1,3
2022,Corona Heights Park,Neighborhood Park or Playground,0.982,PSA5,8
2022,Coso & Precita Mini Park,Mini Park,0.932,PSA6,9
2022,Cottage Row Mini Park,Mini Park,0.93,PSA2,5
2022,Cow Hollow Playground,Neighborhood Park or Playground,0.922,PSA1,2
2022,Crocker Amazon Playground,Neighborhood Park or Playground,0.851,PSA3,11
2022,Douglass Playground,Neighborhood Park or Playground,0.911,PSA5,8
2022,Duboce Park,Neighborhood Park or Playground,0.895,PSA6,8
2022,DuPont Tennis Courts,Neighborhood Park or Playground,1,PSA1,1
2022,Embarcadero Plaza,Civic Plaza or Square,0.862,PSA1,3
2022,Esprit Park,Neighborhood Park or Playground,0.814,PSA2,10
2022,Eugene Friend Rec Center,Neighborhood Park or Playground,0.781,PSA2,6
2022,Eureka Valley Rec Center,Neighborhood Park or Playground,0.958,PSA5,8
2022,Excelsior Playground,Neighborhood Park or Playground,0.917,PSA3,11
2022,Fallen Bridge Mini Park,Mini Park,0.917,PSA2,10
2022,Father Alfred E. Boeddeker Park,Neighborhood Park or Playground,0.947,PSA2,5
2022,Fay Park,Neighborhood Park or Playground,1,PSA1,3
2022,Fillmore & Turk Mini Park,Mini Park,0.933,PSA2,5
2022,Franklin Square,Neighborhood Park or Playground,0.777,PSA2,9
2022,Fulton Playground,Neighborhood Park or Playground,0.969,PSA1,1
2022,Garfield Square,Neighborhood Park or Playground,0.904,PSA6,9
2022,George Christopher Playground,Neighborhood Park or Playground,0.975,PSA5,8
2022,Gilman Playground,Neighborhood Park or Playground,1,PSA3,10
2022,Glen Canyon Park,Regional Park,0.952,PSA5,8
2022,Golden Gate & Steiner Mini Park,Mini Park,0.877,PSA2,5
2022,Golden Gate Heights Park,Neighborhood Park or Playground,0.989,PSA4,7
2022,Golden Gate Park,Regional Park,0.898,GGP,1
2022,Grattan Playground,Neighborhood Park or Playground,0.881,PSA2,8
2022,Hamilton Rec Center,Neighborhood Park or Playground,0.951,PSA2,5
2022,Hayes Valley Playground,Neighborhood Park or Playground,0.97,PSA2,5
2022,Head & Brotherood Mini Park,Mini Park,0.879,PSA4,11
2022,Helen Wills Playground,Neighborhood Park or Playground,0.888,PSA1,3
2022,Herz Playground,Neighborhood Park or Playground,0.904,PSA3,10
2022,Hilltop Park,Neighborhood Park or Playground,0.778,PSA3,10
2022,Holly Park,Neighborhood Park or Playground,0.899,PSA6,9
2022,Hyde & Vallejo Mini Park,Mini Park,0.927,PSA1,3
2022,In Chan Kaajal Park,Neighborhood Park or Playground,0.985,PSA2,9
2022,Ina Coolbrith Park,Mini Park,0.915,PSA1,3
2022,India Basin - Shoreline Park,Neighborhood Park or Playground,0.851,PSA3,10
2022,J.P. Murphy Playground,Neighborhood Park or Playground,0.967,PSA4,7
2022,Jackson Playground,Neighborhood Park or Playground,0.88,PSA2,10
2022,James Rolph Jr. Playground,Neighborhood Park or Playground,0.832,PSA6,9
2022,Japantown Peace Plaza,Civic Plaza or Square,0.911,PSA2,5
2022,Jefferson Square,Neighborhood Park or Playground,0.826,PSA2,5
2022,Joe DiMaggio Playground,Neighborhood Park or Playground,0.932,PSA1,3
2022,John McLaren Park,Neighborhood Park or Playground,0.877,PSA3,"9, 10, 11"
2022,Joost & Baden Mini Park,Mini Park,0.926,PSA5,8
2022,Jose Coronado Playground,Neighborhood Park or Playground,0.939,PSA6,9
2022,Joseph Conrad Mini Park,Mini Park,0.966,PSA1,3
2022,Joseph L. Alioto Performing Arts Piazza,Civic Plaza or Square,0.942,PSA2,5
2022,Joseph Lee Rec Center,Neighborhood Park or Playground,0.88,PSA3,10
2022,Junipero Serra Playground,Neighborhood Park or Playground,0.818,PSA4,7
2022,Juri Commons,Mini Park,0.941,PSA6,8
2022,Kelloch & Velasco Mini Park,Mini Park,0.924,PSA3,10
2022,Kid Power Park,Neighborhood Park or Playground,0.887,PSA6,9
2022,Koshland Park,Neighborhood Park or Playground,0.956,PSA2,5
2022,Lafayette Park,Neighborhood Park or Playground,0.958,PSA1,2
2022,Lake Merced Park,Regional Park,0.84,PSA4,7
2022,Laurel Hill Playground,Neighborhood Park or Playground,0.89,PSA1,2
2022,Lessing & Sears Mini Park,Mini Park,0.724,PSA3,11
2022,Lincoln Park,Regional Park,0.928,PSA1,1
2022,Little Hollywood Park,Neighborhood Park or Playground,0.857,PSA3,10
2022,Louis Sutter Playground,Neighborhood Park or Playground,0.808,PSA3,9
2022,Lower Great Highway,Parkway,0.922,PSA4,1
2022,Margaret S.Hayward Playground,Neighborhood Park or Playground,0.948,PSA2,5
2022,Maritime Plaza,Civic Plaza or Square,0.975,PSA1,3
2022,McCoppin Square,Neighborhood Park or Playground,0.864,PSA4,4
2022,McKinley Square,Neighborhood Park or Playground,0.798,PSA2,10
2022,Merced Heights Playground,Neighborhood Park or Playground,0.938,PSA4,11
2022,Michelangelo Playground,Neighborhood Park or Playground,0.883,PSA1,3
2022,Midtown Terrace Playground,Neighborhood Park or Playground,0.931,PSA4,7
2022,Minnie and Lovie Rec Center,Neighborhood Park or Playground,0.928,PSA4,11
2022,Miraloma Playground,Neighborhood Park or Playground,0.875,PSA5,7
2022,Mission Dolores Park,Neighborhood Park or Playground,0.902,PSA6,8
2022,Mission Playground,Neighborhood Park or Playground,0.93,PSA6,9
2022,Mission Rec Center,Neighborhood Park or Playground,0.942,PSA6,9
2022,Moscone Rec Center,Neighborhood Park or Playground,0.912,PSA1,2
2022,Mountain Lake Park,Neighborhood Park or Playground,0.897,PSA1,1
2022,Mt. Olympus,Neighborhood Park or Playground,0.854,PSA5,8
2022,Mullen & Peralta Mini Park,Mini Park,0.971,PSA6,9
2022,Muriel Leff Mini Park,Mini Park,0.977,PSA1,1
2022,Noe Valley Courts,Neighborhood Park or Playground,0.917,PSA5,8
2022,Page & Laguna Mini Park,Mini Park,0.954,PSA2,5
2022,Palace of Fine Arts,Civic Plaza or Square,0.982,PSA1,2
2022,Palega Playground,Neighborhood Park or Playground,0.933,PSA3,9
2022,Palou & Phelps Park,Neighborhood Park or Playground,0.824,PSA3,10
2022,Park Presidio Blvd,Parkway,0.731,PSA1,1
2022,Parkside Square,Neighborhood Park or Playground,0.913,PSA4,4
2022,Parque Ninos Unidos,Neighborhood Park or Playground,0.937,PSA6,9
2022,Patricia's Green in Hayes Valley,Mini Park,0.894,PSA2,5
2022,Peixotto Playground,Neighborhood Park or Playground,0.855,PSA5,8
2022,Pine Lake Park,Regional Park,0.897,PSA4,4
2022,Portsmouth Square,Neighborhood Park or Playground,0.858,PSA1,3
2022,Potrero del Sol,Neighborhood Park or Playground,0.874,PSA6,9
2022,Potrero Hill Rec Center,Neighborhood Park or Playground,0.893,PSA2,10
2022,Precita Park,Neighborhood Park or Playground,0.944,PSA6,9
2022,Prentiss Mini Park,Mini Park,0.952,PSA6,9
2022,Presidio Heights Playground,Neighborhood Park or Playground,0.869,PSA1,2
2022,Presidio Wall Playground,Neighborhood Park or Playground,0.9,PSA1,2
2022,Randolph & Bright Mini Park,Mini Park,0.889,PSA4,11
2022,Raymond Kimball Playground,Neighborhood Park or Playground,0.927,PSA2,5
2022,Richmond Playground,Neighborhood Park or Playground,0.901,PSA1,1
2022,Richmond Rec Center,Neighborhood Park or Playground,0.881,PSA1,1
2022,Rochambeau Playground,Neighborhood Park or Playground,0.975,PSA1,1
2022,Rolph Nicol Playground,Neighborhood Park or Playground,0.862,PSA4,4
2022,Roosevelt & Henry Stairs,Mini Park,0.938,PSA5,8
2022,Saturn Street Steps,Mini Park,0.986,PSA5,8
2022,Selby & Palou Mini Park,Mini Park,0.935,PSA3,10
2022,Seward Mini Park,Mini Park,0.975,PSA5,8
2022,Sgt. John Macaulay Park,Mini Park,0.972,PSA2,5
2022,Silver Terrace Playground,Neighborhood Park or Playground,0.921,PSA3,10
2022,SOMA West Dog Park,Neighborhood Park or Playground,0.936,PSA2,6
2022,SOMA West Skate Park,Neighborhood Park or Playground,0.904,PSA2,6
2022,South Park,Neighborhood Park or Playground,0.891,PSA2,6
2022,South Sunset Playground,Neighborhood Park or Playground,0.851,PSA4,4
2022,St. Mary's Rec Center,Neighborhood Park or Playground,0.885,PSA6,9
2022,St. Mary's Square,Civic Plaza or Square,0.93,PSA1,3
2022,States Street Playground,Neighborhood Park or Playground,0.984,PSA5,8
2022,Sue Bierman Park,Neighborhood Park or Playground,0.983,PSA1,3
2022,Sunnyside Conservatory,Mini Park,1,PSA5,7
2022,Sunnyside Playground,Neighborhood Park or Playground,0.899,PSA5,7
2022,Sunset Rec Center,Neighborhood Park or Playground,0.928,PSA4,4
2022,Telegraph Hill - Pioneer Park,Civic Plaza or Square,0.879,PSA1,3
2022,Tenderloin Recreation Center,Neighborhood Park or Playground,0.909,PSA2,5
2022,Turk & Hyde Mini Park,Mini Park,0.984,PSA2,5
2022,Union Square,Civic Plaza or Square,0.914,PSA2,3
2022,Upper Noe Rec Center,Neighborhood Park or Playground,0.921,PSA5,8
2022,Victoria Manalo Draves Park,Neighborhood Park or Playground,0.92,PSA2,6
2022,Visitacion Valley Greenway,Neighborhood Park or Playground,0.78,PSA3,10
2022,Visitacion Valley Playground,Neighborhood Park or Playground,0.949,PSA3,10
2022,Walter Haas Playground,Neighborhood Park or Playground,0.86,PSA5,8
2022,Washington & Hyde Mini Park,Mini Park,0.905,PSA1,3
2022,Washington Square,Civic Plaza or Square,1,PSA1,3
2022,West Portal Playground,Neighborhood Park or Playground,1,PSA4,7
2022,West Sunset Playground,Neighborhood Park or Playground,0.956,PSA4,4
2022,Willie Woo Woo Wong Playground,Neighborhood Park or Playground,0.923,PSA1,3
2022,Woh Hei Yuen Playground,Neighborhood Park or Playground,0.916,PSA1,3
2022,Yacht Harbor and Marina Green,Regional Park,0.883,PSA1,2
2022,Youngblood-Coleman Playground,Neighborhood Park or Playground,0.869,PSA3,10
2020,10th Ave & Clement Mini Park,Mini Park,0.968,PSA1,1
2020,24th & York Mini Park,Mini Park,0.923,PSA6,9
2020,Adam Rodgers Park,Neighborhood Park or Playground,0.874,PSA3,10
2020,Alamo Square,Neighborhood Park or Playground,0.955,PSA2,5
2020,Alice Marble Tennis Courts,Neighborhood Park or Playground,0.9,PSA1,3
2020,Alioto Mini Park,Mini Park,0.833,PSA6,9
2020,Allyne Park,Neighborhood Park or Playground,0.908,PSA1,2
2020,Alta Plaza Park,Neighborhood Park or Playground,0.902,PSA1,2
2020,Angelo J. Rossi Playground,Neighborhood Park or Playground,0.963,PSA1,1
2020,Aptos Playground,Neighborhood Park or Playground,0.929,PSA4,7
2020,Argonne Playground,Neighborhood Park or Playground,0.973,PSA1,1
2020,Balboa Park,Neighborhood Park or Playground,0.926,PSA5,11
2020,Bayview K.C. Jones Playground,Neighborhood Park or Playground,0.951,PSA3,10
2020,Beideman & O'Farrell Mini Park,Mini Park,0.935,PSA2,5
2020,Bernal Heights Rec Center,Neighborhood Park or Playground,0.958,PSA6,9
2020,Betty Ann Ong Chinese Rec Center,Neighborhood Park or Playground,0.982,PSA1,3
2020,Broadway Tunnel West Mini Park,Mini Park,0.926,PSA1,3
2020,Brooks Park,Neighborhood Park or Playground,0.884,PSA4,11
2020,Buchanan Street Mall,Neighborhood Park or Playground,0.958,PSA2,5
2020,Buena Vista Park,Regional Park,0.815,PSA5,8
2020,Bush & Broderick Mini Park,Mini Park,0.898,PSA2,2
2020,Cabrillo Playground,Neighborhood Park or Playground,0.974,PSA1,1
2020,Carl Larsen Park,Neighborhood Park or Playground,0.847,PSA4,4
2020,Cayuga & Lamartine Mini Park,Mini Park,0.849,PSA5,11
2020,Cayuga Playground,Neighborhood Park or Playground,0.967,PSA3,11
2020,Coleridge Mini Park,Mini Park,0.986,PSA6,9
2020,Collis P. Huntington Park,Civic Plaza or Square,0.963,PSA1,3
2020,Corona Heights Park,Neighborhood Park or Playground,0.863,PSA5,8
2020,Coso & Precita Mini Park,Mini Park,1,PSA6,9
2020,Cottage Row Mini Park,Mini Park,0.975,PSA2,5
2020,Cow Hollow Playground,Neighborhood Park or Playground,0.893,PSA1,2
2020,Crocker Amazon Playground,Neighborhood Park or Playground,0.895,PSA3,11
2020,Douglass Playground,Neighborhood Park or Playground,0.967,PSA5,8
2020,Duboce Park,Neighborhood Park or Playground,0.912,PSA6,8
2020,DuPont Tennis Courts,Neighborhood Park or Playground,0.993,PSA1,1
2020,Embarcadero Plaza,Civic Plaza or Square,0.95,PSA1,3
2020,Esprit Park,Neighborhood Park or Playground,0.883,PSA2,10
2020,Eugene Friend Rec Center,Neighborhood Park or Playground,0.914,PSA2,6
2020,Eureka Valley Rec Center,Neighborhood Park or Playground,0.899,PSA5,8
2020,Excelsior Playground,Neighborhood Park or Playground,0.9,PSA3,11
2020,Fallen Bridge Mini Park,Mini Park,0.988,PSA2,10
2020,Father Alfred E. Boeddeker Park,Neighborhood Park or Playground,0.972,PSA2,5
2020,Fay Park,Neighborhood Park or Playground,0.989,PSA1,3
2020,Fillmore & Turk Mini Park,Mini Park,0.944,PSA2,5
2020,Franklin Square,Neighborhood Park or Playground,0.88,PSA2,9
2020,Fulton Playground,Neighborhood Park or Playground,0.963,PSA1,1
2020,Garfield Square,Neighborhood Park or Playground,0.903,PSA6,9
2020,George Christopher Playground,Neighborhood Park or Playground,0.804,PSA5,8
2020,Gilman Playground,Neighborhood Park or Playground,0.994,PSA3,10
2020,Glen Canyon Park,Regional Park,0.957,PSA5,8
2020,Golden Gate & Steiner Mini Park,Mini Park,1,PSA2,5
2020,Golden Gate Heights Park,Neighborhood Park or Playground,0.834,PSA4,7
2020,Golden Gate Park,Regional Park,0.882,GGP,1
2020,Grattan Playground,Neighborhood Park or Playground,0.925,PSA2,8
